Datetime,Home Team,Home Score,Away Team,Away Score
2026-06-11T12:00:00-07:00,MEX,2,RSA,0
2026-06-11T19:00:00-07:00,KOR,2,CZE,1	
2026-06-12T12:00:00-07:00,CAN,1,BIH,1
2026-06-12T18:00:00-07:00,USA,4,PAR,1
2026-06-13T12:00:00-07:00,QAT,1,SUI,1
2026-06-13T15:00:00-07:00,BRA,1,MAR,1
2026-06-13T18:00:00-07:00,HAI,0,SCO,1
2026-06-13T21:00:00-07:00,AUS,2,TUR,0
2026-06-14T10:00:00-07:00,GER,7,CUW,1
2026-06-14T13:00:00-07:00,NED,2,JPN,2
2026-06-14T16:00:00-07:00,CIV,1,ECU,0
2026-06-14T19:00:00-07:00,SWE,5,TUN,1	
2026-06-15T09:00:00-07:00,ESP,0,CPV,0
2026-06-15T12:00:00-07:00,BEL,1,EGY,1
2026-06-15T15:00:00-07:00,KSA,1,URU,1
2026-06-15T18:00:00-07:00,IRN,2,NZL,2
2026-06-16T12:00:00-07:00,FRA,3,SEN,1
2026-06-16T15:00:00-07:00,IRQ,1,NOR,4
2026-06-16T18:00:00-07:00,ARG,3,ALG,0
2026-06-16T21:00:00-07:00,AUT,3,JOR,1
2026-06-17T10:00:00-07:00,POR,1,COD,1
2026-06-17T13:00:00-07:00,ENG,4,CRO,2
2026-06-17T16:00:00-07:00,GHA,1,PAN,0
2026-06-17T19:00:00-07:00,UZB,1,COL,3
2026-06-18T09:00:00-07:00,CZE,1,RSA,1
2026-06-18T12:00:00-07:00,SUI,4,BIH,1
2026-06-18T15:00:00-07:00,CAN,6,QAT,0
2026-06-18T18:00:00-07:00,MEX,1,KOR,0
2026-06-19T12:00:00-07:00,USA,2,AUS,0
2026-06-19T15:00:00-07:00,SCO,0,MAR,1
2026-06-19T17:30:00-07:00,BRA,3,HAI,0
2026-06-19T20:00:00-07:00,TUR,0,PAR,1
2026-06-20T10:00:00-07:00,NED,5,SWE,1
2026-06-20T13:00:00-07:00,GER,2,CIV,1
2026-06-20T17:00:00-07:00,ECU,0,CUW,0
2026-06-20T21:00:00-07:00,TUN,0,JPN,4
2026-06-21T09:00:00-07:00,ESP,4,KSA,0
2026-06-21T12:00:00-07:00,BEL,0,IRN,0
2026-06-21T15:00:00-07:00,URU,2,CPV,2
2026-06-21T18:00:00-07:00,NZL,1,EGY,3
2026-06-22T10:00:00-07:00,ARG,2,AUT,0
2026-06-22T14:00:00-07:00,FRA,3,IRQ,0
2026-06-22T17:00:00-07:00,NOR,3,SEN,2
2026-06-22T20:00:00-07:00,JOR,1,ALG,2
2026-06-23T10:00:00-07:00,POR,5,UZB,0
2026-06-23T13:00:00-07:00,ENG,0,GHA,0
2026-06-23T16:00:00-07:00,PAN,0,CRO,1
2026-06-23T19:00:00-07:00,COL,1,COD,0
2026-06-24T12:00:00-07:00,SUI,2,CAN,1
2026-06-24T12:00:00-07:00,BIH,3,QAT,1
2026-06-24T15:00:00-07:00,SCO,0,BRA,3
2026-06-24T15:00:00-07:00,MAR,4,HAI,2
2026-06-24T18:00:00-07:00,CZE,0,MEX,3
2026-06-24T18:00:00-07:00,RSA,1,KOR,0
2026-06-25T13:00:00-07:00,CUW,0,CIV,2
2026-06-25T13:00:00-07:00,ECU,2,GER,1
2026-06-25T16:00:00-07:00,JPN,1,SWE,1
2026-06-25T16:00:00-07:00,TUN,1,NED,3
2026-06-25T19:00:00-07:00,TUR,3,USA,2
2026-06-25T19:00:00-07:00,PAR,0,AUS,0
2026-06-26T12:00:00-07:00,NOR,1,FRA,4
2026-06-26T12:00:00-07:00,SEN,5,IRQ,0
2026-06-26T17:00:00-07:00,CPV,0,KSA,0
2026-06-26T17:00:00-07:00,URU,0,ESP,1
2026-06-26T20:00:00-07:00,EGY,1,IRN,1
