Team,Rank,Group,Pot,Flag,Code,Points
France,1,I,1,🇫🇷,FRA,1877.32
Spain,2,H,1,🇪🇸,ESP,1876.40
Argentina,3,J,1,🇦🇷,ARG,1874.81
England,4,L,1,🏴󠁧󠁢󠁥󠁮󠁧󠁿,ENG,1825.97
Portugal,5,K,1,🇵🇹,POR,1763.83
Brazil,6,C,1,🇧🇷,BRA,1761.16
Netherlands,7,F,1,🇳🇱,NED,1757.87
Morocco,8,C,1,🇲🇦,MAR,1755.87
Belgium,9,G,1,🇧🇪,BEL,1734.71
Germany,10,E,1,🇩🇪,GER,1730.37
Croatia,11,L,1,🇭🇷,CRO,1717.07
Uruguay,13,H,1,🇺🇾,URU,1673.07
Switzerland,14,B,2,🇨🇭,SUI,1649.40
Colombia,15,K,2,🇨🇴,COL,1693.09
Mexico,15,A,2,🇲🇽,MEX,1681.03
United States,16,D,2,🇺🇸,USA,1673.13
Japan,17,F,2,🇯🇵,JPN,1660.43
Iran,18,G,2,🇮🇷,IRN,1615.30
Senegal,21,I,2,🇸🇳,SEN,1688.99
Austria,23,J,2,🇦🇹,AUT,1593.45
Australia,24,D,2,🇦🇺,AUS,1580.67
South Korea,25,A,2,🇰🇷,KOR,1588.66
Ecuador,28,E,2,🇪🇨,ECU,1594.78
Egypt,29,G,2,🇪🇬,EGY,1563.24
Canada,30,B,3,🇨🇦,CAN,1556.48
Ivory Coast,33,E,3,🇨🇮,CIV,1532.98
Qatar,35,B,3,🇶🇦,QAT,1454.96
Algeria,36,J,3,🇩🇿,ALG,1564.26
Sweden,39,F,3,🇸🇪,SWE,1514.77
Tunisia,40,F,3,🇹🇳,TUN,1483.05
Czechia,41,A,3,🇨🇿,CZE,1501.38
Türkiye,42,D,3,🇹🇷,TUR,1599.04
Norway,44,I,3,🇳🇴,NOR,1550.94
Scotland,47,C,3,🏴󠁧󠁢󠁳󠁣󠁴󠁿,SCO,1498.35
DR Congo,51,K,3,🇨🇩,COD,1478.35
Bosnia & Herzegovina,52,B,3,🇧🇦,BIH,1385.84
Panama,53,L,4,🇵🇦,PAN,1540.64
Saudi Arabia,57,H,4,🇸🇦,KSA,1421.43
South Africa,60,A,4,🇿🇦,RSA,1429.73
Iraq,61,I,4,🇮🇶,IRQ,1447.14
Uzbekistan,62,K,4,🇺🇿,UZB,1465.34
Paraguay,64,D,4,🇵🇾,PAR,1503.50
Ghana,65,L,4,🇬🇭,GHA,1346.31
Jordan,68,J,4,🇯🇴,JOR,1391.45
Cape Verde,70,H,4,🇨🇻,CPV,1366.13
Curaçao,81,E,4,🇨🇼,CUW,1294.65
Haiti,83,C,4,🇭🇹,HAI,1291.71
New Zealand,95,G,4,🇳🇿,NZL,1281.57
