Name,Picks
Ian,"ENG,GER,MAR,USA,EGY,COL,TUR,CZE,CIV,HAI,PAR,IRQ"
Muma,"BRA,CRO,MAR,IRN,JPN,USA,CZE,NOR,TUR,IRQ,PAR,NZL"
Bob,"ARG,CRO,ESP,COL,JPN,MEX,BIH,CZE,SWE,NZL,PAR,RSA"
Trish,"ARG,ESP,FRA,EGY,JPN,SEN,CAN,NOR,TUN,CPV,JOR,NZL"
Mar,"ARG,ESP,FRA,COL,SUI,USA,ALG,CAN,SWE,KSA,PAN,PAR"
Christin,"ARG,BEL,BRA,COL,ECU,SUI,CAN,NOR,TUR,GHA,PAR,RSA"
Alexi,"ENG,ESP,FRA,COL,USA,MEX,NOR,TUR,CAN,PAR,GHA,KSA"
Jake,"ARG,ESP,FRA,MEX,SUI,USA,ALG,CIV,CZE,PAN,PAR,RSA"
Fuz,"ARG,FRA,NED,JPN,MEX,USA,CIV,SWE,TUR,CUW,JOR,KSA"
Emo,"ARG,ESP,FRA,AUS,KOR,USA,BIH,CAN,QAT,NZL,PAR,KSA"
Laura,"ARG,FRA,GER,COL,EGY,MEX,CAN,SCO,TUR,CUW,PAR,RSA"
